date,region,district,fine_dust,super_fine_dust,oz,co,co2,so2,month,day,weekday
2016-01-01,동북권,광진구,85.0,64.0,0.004,0.9,0.046,0.006,1,1,fri
2016-01-01,동북권,강북구,77.0,52.0,0.004,1.1,0.047,0.004,1,1,fri
2016-01-01,서북권,마포구,59.0,49.0,0.008,1.0,0.042,0.006,1,1,fri
2016-01-01,도심권,중구,61.0,35.0,0.005,0.8,0.065,0.007,1,1,fri
2016-01-01,서북권,서대문구,69.0,39.0,0.007,0.9,0.06,0.005,1,1,fri
2016-01-01,동남권,서초구,76.0,42.0,0.006,0.8,0.038,0.006,1,1,fri
2016-01-01,동남권,강남구,73.0,44.0,0.006,0.8,0.047,0.006,1,1,fri
2016-01-01,동북권,성북구,71.0,45.0,0.005,1.3,0.056,0.007,1,1,fri
2016-01-01,서남권,구로구,56.0,41.0,0.007,1.1,0.038,0.007,1,1,fri
2016-01-01,서남권,강서구,66.0,38.0,0.005,0.9,0.048,0.006,1,1,fri
2016-01-01,동북권,성동구,77.0,39.0,0.004,1.0,0.047,0.005,1,1,fri
2016-01-01,도심권,용산구,59.0,46.0,0.005,0.7,0.046,0.005,1,1,fri
2016-01-01,동북권,중랑구,66.0,41.0,0.004,1.1,0.052,0.006,1,1,fri
2016-01-01,서북권,은평구,58.0,35.0,0.01,0.7,0.039,0.007,1,1,fri
2016-01-01,서남권,동작구,54.0,39.0,0.009,0.8,0.049,0.005,1,1,fri
2016-01-01,동남권,송파구,64.0,39.0,0.004,1.1,0.046,0.006,1,1,fri
2016-01-01,동북권,도봉구,67.0,41.0,0.005,1.0,0.053,0.006,1,1,fri
2016-01-01,서남권,양천구,82.0,65.0,0.008,1.1,0.049,0.005,1,1,fri
2016-01-01,서남권,금천구,64.0,49.0,0.01,1.0,0.043,0.005,1,1,fri
2016-01-01,도심권,종로구,68.0,51.0,0.005,0.7,0.047,0.006,1,1,fri
2016-01-01,서남권,영등포구,80.0,40.0,0.006,1.1,0.035,0.006,1,1,fri
2016-01-01,동남권,강동구,77.0,45.0,0.002,0.9,0.043,0.004,1,1,fri
2016-01-01,동북권,동대문구,66.0,44.0,0.005,1.0,0.047,0.006,1,1,fri
2016-01-01,동북권,노원구,68.0,49.0,0.003,1.1,0.049,0.007,1,1,fri
2016-01-01,서남권,관악구,66.0,44.0,0.009,1.1,0.052,0.005,1,1,fri
2016-01-02,동북권,중랑구,51.0,29.0,0.007,0.9,0.052,0.007,1,2,sat
2016-01-02,동북권,성북구,54.0,29.0,0.005,1.1,0.056,0.007,1,2,sat
2016-01-02,서남권,강서구,42.0,26.0,0.01,0.5,0.036,0.006,1,2,sat
2016-01-02,서남권,금천구,52.0,36.0,0.018,0.7,0.034,0.005,1,2,sat
2016-01-02,도심권,종로구,53.0,37.0,0.007,0.5,0.044,0.006,1,2,sat
2016-01-02,서남권,양천구,59.0,40.0,0.014,0.7,0.035,0.005,1,2,sat
2016-01-02,동남권,서초구,53.0,26.0,0.013,0.5,0.03,0.006,1,2,sat
2016-01-02,서남권,영등포구,62.0,28.0,0.009,0.9,0.032,0.006,1,2,sat
2016-01-02,서남권,관악구,54.0,35.0,0.013,0.8,0.047,0.005,1,2,sat
2016-01-02,동북권,도봉구,54.0,31.0,0.004,0.9,0.059,0.005,1,2,sat
2016-01-02,서남권,구로구,41.0,27.0,0.012,0.7,0.032,0.006,1,2,sat
2016-01-02,서북권,은평구,45.0,24.0,0.016,0.6,0.037,0.007,1,2,sat
2016-01-02,동북권,성동구,44.0,27.0,0.005,0.7,0.046,0.005,1,2,sat
2016-01-02,동북권,동대문구,55.0,33.0,0.007,0.9,0.05,0.007,1,2,sat
2016-01-02,도심권,중구,47.0,25.0,0.007,0.6,0.064,0.007,1,2,sat
2016-01-02,동북권,노원구,52.0,36.0,0.004,0.8,0.049,0.008,1,2,sat
2016-01-02,동남권,송파구,41.0,25.0,0.012,0.6,0.04,0.005,1,2,sat
2016-01-02,서남권,동작구,48.0,34.0,0.015,0.6,0.041,0.005,1,2,sat
2016-01-02,서북권,서대문구,55.0,26.0,0.013,0.7,0.05,0.005,1,2,sat
2016-01-02,도심권,용산구,43.0,30.0,0.008,0.4,0.042,0.005,1,2,sat
2016-01-02,동남권,강동구,56.0,31.0,0.002,0.8,0.046,0.004,1,2,sat
2016-01-02,동남권,강남구,50.0,29.0,0.012,0.5,0.039,0.006,1,2,sat
2016-01-02,동북권,광진구,58.0,41.0,0.007,0.6,0.043,0.005,1,2,sat
2016-01-02,서북권,마포구,45.0,35.0,0.011,0.7,0.037,0.006,1,2,sat
2016-01-02,동북권,강북구,71.0,44.0,0.005,0.9,0.047,0.005,1,2,sat
2016-01-03,동남권,강남구,101.0,60.0,0.012,0.8,0.052,0.007,1,3,sun
2016-01-03,동남권,송파구,76.0,44.0,0.011,1.2,0.047,0.006,1,3,sun
2016-01-03,동북권,광진구,111.0,80.0,0.009,1.0,0.051,0.005,1,3,sun
2016-01-03,동남권,강동구,97.0,56.0,0.002,1.1,0.057,0.005,1,3,sun
2016-01-03,서남권,금천구,96.0,67.0,0.014,0.9,0.05,0.008,1,3,sun
2016-01-03,서남권,구로구,83.0,51.0,0.017,0.9,0.037,0.008,1,3,sun
2016-01-03,동북권,중랑구,92.0,54.0,0.008,1.2,0.061,0.008,1,3,sun
2016-01-03,동북권,동대문구,94.0,59.0,0.013,1.1,0.05,0.008,1,3,sun
2016-01-03,동북권,강북구,109.0,68.0,0.016,1.1,0.047,0.007,1,3,sun
2016-01-03,동북권,성동구,0.0,50.0,0.008,1.1,0.053,0.005,1,3,sun
2016-01-03,서남권,강서구,0.0,50.0,0.011,0.7,0.043,0.007,1,3,sun
2016-01-03,도심권,종로구,98.0,68.0,0.015,0.6,0.044,0.007,1,3,sun
2016-01-03,서남권,양천구,116.0,80.0,0.017,0.9,0.044,0.007,1,3,sun
2016-01-03,도심권,용산구,85.0,62.0,0.01,0.7,0.049,0.006,1,3,sun
2016-01-03,서북권,마포구,88.0,68.0,0.017,0.8,0.04,0.007,1,3,sun
2016-01-03,서남권,영등포구,119.0,53.0,0.012,0.9,0.033,0.006,1,3,sun
2016-01-03,도심권,중구,86.0,50.0,0.016,0.5,0.064,0.009,1,3,sun
2016-01-03,서북권,서대문구,109.0,53.0,0.017,0.8,0.059,0.006,1,3,sun
2016-01-03,서남권,동작구,94.0,61.0,0.016,0.8,0.05,0.006,1,3,sun
2016-01-03,서북권,은평구,96.0,49.0,0.017,0.8,0.04,0.007,1,3,sun
2016-01-03,동남권,서초구,114.0,52.0,0.01,0.8,0.042,0.007,1,3,sun
2016-01-03,동북권,성북구,80.0,50.0,0.013,1.1,0.055,0.006,1,3,sun
2016-01-03,동북권,노원구,87.0,60.0,0.011,1.1,0.051,0.01,1,3,sun
2016-01-03,동북권,도봉구,83.0,48.0,0.02,1.0,0.052,0.007,1,3,sun
2016-01-03,서남권,관악구,96.0,60.0,0.019,0.9,0.052,0.007,1,3,sun
2016-01-04,서남권,동작구,70.0,51.0,0.028,0.5,0.028,0.005,1,4,mon
2016-01-04,서북권,서대문구,89.0,43.0,0.027,0.6,0.029,0.006,1,4,mon
2016-01-04,서남권,구로구,77.0,42.0,0.025,0.7,0.021,0.007,1,4,mon
2016-01-04,동북권,성동구,33.0,48.0,0.023,0.6,0.026,0.005,1,4,mon
2016-01-04,동남권,송파구,61.0,35.0,0.03,0.6,0.025,0.006,1,4,mon
2016-01-04,동북권,광진구,85.0,61.0,0.026,0.8,0.024,0.005,1,4,mon
2016-01-04,동북권,동대문구,76.0,46.0,0.025,0.7,0.02,0.007,1,4,mon
2016-01-04,서남권,양천구,87.0,62.0,0.021,0.7,0.029,0.005,1,4,mon
